"positive_count","negative_count","label"
25756,16960,"hm_cluster1"
23941,16155,"hm_cluster1"
27076,16258,"hm_cluster1"
25450,15166,"hm_cluster1"
23715,14087,"hm_cluster1"
24365,17063,"hm_cluster1"
23451,14532,"hm_cluster1"
29790,19933,"hm_cluster1"
23572,15341,"hm_cluster1"
29826,20478,"hm_cluster1"
30508,16317,"hm_cluster1"
30964,16853,"hm_cluster1"
27451,14579,"hm_cluster1"
24999,16855,"hm_cluster1"
31277,16434,"hm_cluster1"
22209,14050,"hm_cluster1"
25026,18198,"hm_cluster1"
28161,19173,"hm_cluster1"
21718,18437,"hm_cluster1"
19456,17258,"hm_cluster1"
26959,17432,"hm_cluster1"
25068,17622,"hm_cluster1"
29709,15108,"hm_cluster1"
33123,16360,"hm_cluster1"
22999,13015,"hm_cluster1"
30875,18009,"hm_cluster1"
25152,15042,"hm_cluster1"
23823,14827,"hm_cluster1"
26581,16124,"hm_cluster1"
22633,14281,"hm_cluster1"
18644,16722,"hm_cluster1"
28687,19430,"hm_cluster1"
32896,18719,"hm_cluster1"
27102,17249,"hm_cluster1"
27331,17231,"hm_cluster1"
24488,17406,"hm_cluster1"
28425,16459,"hm_cluster1"
27923,19603,"hm_cluster1"
24060,16177,"hm_cluster1"
26748,15137,"hm_cluster1"
25092,14694,"hm_cluster1"
32019,17901,"hm_cluster1"
29641,15545,"hm_cluster1"
26663,17685,"hm_cluster1"
29729,13241,"hm_cluster1"
24602,15483,"hm_cluster1"
22519,14857,"hm_cluster1"
26549,15083,"hm_cluster1"
24045,16316,"hm_cluster1"
22841,14103,"hm_cluster1"
27976,15400,"hm_cluster1"
26302,14794,"hm_cluster1"
28907,18370,"hm_cluster1"
24986,11463,"hm_cluster1"
32685,15641,"hm_cluster1"
23925,14302,"hm_cluster1"
32423,15792,"hm_cluster1"
21840,12634,"hm_cluster1"
25448,16361,"hm_cluster1"
27373,15953,"hm_cluster1"
21457,17484,"hm_cluster1"
31069,17629,"hm_cluster1"
32399,16586,"hm_cluster1"
30048,14783,"hm_cluster1"
33163,17104,"hm_cluster1"
25951,13977,"hm_cluster1"
19614,13977,"hm_cluster1"
30553,19968,"hm_cluster1"
28382,15309,"hm_cluster1"
24922,19119,"hm_cluster1"
30076,17746,"hm_cluster1"
21323,12660,"hm_cluster1"
31868,18252,"hm_cluster1"
24215,11692,"hm_cluster1"
22381,15753,"hm_cluster1"
22660,11901,"hm_cluster1"
26687,18344,"hm_cluster1"
