"repName","repClass","repFamily","species","clade","age"
"Tigger13a","DNA","TcMar-Tigger","Eutheria","Theria <mammals>.","old"
"MIR3","SINE","MIR","Mammalia","Amniota.","old"
"LTR7","LTR","ERV1","Hominoidea","Catarrhini.","young"
"LTR26","LTR","ERV1","Primates","Euarchontoglires.","old"
"MER4A","LTR","ERV1","Primates","Euarchontoglires.","old"
"AluSz6","SINE","Alu","Primates","Euarchontoglires.","old"
"L1ME3E","LINE","L1",NA,NA,"old"
"MSTB1","LTR","ERVL-MaLR","Primates","Euarchontoglires.","old"
"L1PA8","LINE","L1",NA,NA,"old"
"L1MDa","LINE","L1",NA,NA,"old"
"Charlie7","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"L1MEd","LINE","L1",NA,NA,"old"
