"count","group"
20345,"cluster2"
24427,"cluster2"
15989,"cluster2"
24134,"cluster2"
26062,"cluster2"
21938,"cluster2"
17873,"cluster2"
24256,"cluster2"
24875,"cluster2"
17129,"cluster2"
22210,"cluster2"
20584,"cluster2"
22077,"cluster2"
18472,"cluster2"
18436,"cluster2"
20419,"cluster2"
16561,"cluster2"
16086,"cluster2"
21417,"cluster2"
22440,"cluster2"
19036,"cluster2"
22203,"cluster2"
19351,"cluster2"
19247,"cluster2"
17062,"cluster2"
18704,"cluster2"
24716,"cluster2"
13477,"cluster2"
21304,"cluster2"
21399,"cluster2"
21057,"cluster2"
19695,"cluster2"
18545,"cluster2"
16510,"cluster2"
19684,"cluster2"
18193,"cluster2"
20016,"cluster2"
18719,"cluster2"
18779,"cluster2"
22507,"cluster2"
17284,"cluster2"
23369,"cluster2"
17631,"cluster2"
18602,"cluster2"
15687,"cluster2"
20053,"cluster2"
20409,"cluster2"
19668,"cluster2"
21873,"cluster2"
